item_name,product_code,retail_selling_price,units,buying_price,wholesale_selling_price,minimum_order_quantity,discount
Yokohama 265/60R18LT B9SG015 XOLL FERP,E5156,39050,10,32500,35750,1,12
Falken 265/65R17 116T WILDPEAK A/T AT3W XL,M11291664FJ,29700,10,23500,25850,1,12
Yokohama 265/65R17LT C0QG016 XRRL FM,E5165,36850,10,30500,33550,1,12
Yokohama 265/65R17LT C0RG015 XOLL FERP,E5154,33550,10,27000,29700,1,12
Chaoyang 265/65R17PR SL369,MIX000086,19250,10,16500,18150,1,12
Yokohama 265/65R18 B4HG015 XRRL WORP,R1132,29150,10,22000,24200,1,12
Yokohama 265/65R18 B4VG31B X  L TORI,R7089,20350,10,16000,17600,1,12
Primewell 265/65R18P 112S VALERA AT OWL PRIMEWELL,MIX000052,12650,10,10000,11000,1,12
Yokohama 265/70R15 B2HG015 XRRL SDRP,R1151,25300,10,20000,22000,1,12
Dunlop 265/70R15 DUNLOP,MIX000061,8250,10,6500,7150,1,12
Yokohama 265/70R16 B2HG015 XRRL WORP,R1147,25850,10,20500,22550,1,12
Falken 265/70R17LT 121/118Q M/T01,M11291244FJ,39600,10,30000,33000,1,12
Yokohama 265/70R17LT C1QG003 XRRL WOC3,E4650,49500,10,41000,45100,1,12
Yokohama 265/70R17LT C1QG016 XRRL FM,E4906,44000,10,37500,41250,1,12
Jinyu 265/70R19.5 JA767 143/141J 18PR,3302001941,24200,10,20000,22000,1,12
Jinyu 265/70R19.5 JD727 143/141K 18PR,3302002028,24750,10,20500,22550,1,12
Jinyu 265/70R19.5 JF518 143/141J 18PR,3302001537,24200,10,20000,22000,1,12
Falken 265/75R16LT 119/116R WILDPEAK A/T AT3WA,M11291345FJ,30800,10,25000,27500,1,12
Yokohama 265/75R16LT C3QG003 XRRL WO,E4694,41800,10,35000,38500,1,12
Yokohama 265/75R16LT C3RG015 XOLL SCRP,E4456,36300,10,30000,33000,1,12
Falken 275/35R18 99Y FK453 XL MFS,M10691619FJ,20350,10,16000,17600,1,12
Falken 275/35R18 99Y FK510 XL MFS,M10691749FJ,20900,10,16000,17600,1,12
Falken 275/40R19 105Y FK510 XL MFS,M10691723FJ,34650,10,27000,29700,1,12
Falken 275/40R20 106Y FK510 SUV XL MFS,M11291301FJ,33000,10,24500,26950,1,12
Yokohama 275/40R21 A7WG057 XRBL EFTP,R4548,61600,10,50000,55000,1,12
Yokohama 275/40R22 A8WGO57 XRBL WO,R4553,88000,10,71500,78650,1,12
Falken 275/45R20 110W FK510 SUV XL MFS,M11291326FJ,42350,10,34000,37400,1,12
Triangle 275/45R20(TH201)110Y,CBPTH20127L20YFJ,21450,10,18000,19800,1,12
Yokohama 275/45R21 B0WV105TWRBL TPWO,R0163,66000,10,53000,58300,1,12
Falken 275/50R20 113Y FK510 SUV XL MFS,M11291330FJ,45650,10,36500,40150,1,12
Falken 275/55R20 117T WILDPEAK A/T AT3W XL,M11291719FJ,37400,10,30000,33000,1,12
Primewell 275/60R20P 114T VALERA AT PRIMEWELL,MIX000053,14900,10,12500,13750,1,12
Yokohama 275/65R17 B5HG015 XRRL SDRP,R1162,35750,10,28500,31350,1,12
Falken 285/45R19 111W FK453CC XL MFS,M10691607FJ,35750,10,28500,31350,1,12
Yokohama 285/45R22 B4HG015 XRRL WO,R2246,66000,10,53000,58300,1,12
Falken 285/50R20 116H WILDPEAK A/T AT3W XL,M11291721FJ,38500,10,32000,35200,1,12
Firestone 285/60R18  LE-02 116V TL (FIRESTONE),MIX000026,24090,10,18900,20790,1,12
Yokohama 285/60R18 B6HG015 XRRL SDRP,R1165,36300,10,29000,31900,1,12
Yokohama 285/60R18LT C2QG016 XRRL FM,E5166,38500,10,30000,33000,1,12
Yokohama 285/65R17 B6HG015 XRRL WORP,R2235,37400,10,27000,29700,1,12
Yokohama 285/65R18 C5QG016 XRRL FM,E4935,44000,10,38000,41800,1,12
Mastercraft 285/65R18LT  125/112Q COURSER MXT OWL,MIX000044,26400,10,23000,25300,1,12
Yokohama 285/65R18LT C5QG003 XRRL WO,E4685,62150,10,50000,55000,1,12
Falken 285/75R16LT 126R WILDPEAK A/T AT3W,M11291698FJ,46200,10,36000,39600,1,12
Falken 285/75R16LT 8PR 122/119Q A/T02 OWL,M11291541FJ,25300,10,19000,20900,1,12
Yokohama 285/75R16LT C6QG003 XRRL WO,E4693,46200,10,40000,44000,1,12
Yokohama 295/40R21 B1WG057 XRBL WOTP,R4551,71500,10,60000,66000,1,12
Mastercraft 305/70R16LT 124/121Q COURSER MXT OWL,MIX000042,23650,10,20500,22550,1,12
Dunlop 31 X10.5 R 15 DUNLOP,MIX000013,14300,10,11500,12650,1,12
Triangle 31*10.50R15LT-6PR(TR292)109S,CBLTR29205A15CFJ,17050,10,14000,15400,1,12
Falken 315/35R20 110Y FK510 SUV XL MFS,M11291300FJ,35200,10,27000,29700,1,12
Falken 315/70R17LT 121S WILDPEAK A/T AT3W,M11291704FJ,42900,10,36000,39600,1,12
Yokohama 31X10.50R15A9SG015 XOLL SCRP,E4518,25850,10,21000,23100,1,12
Falken 31X10.50R15LT 109Q AT3WA,M11291340FJ,25300,10,20000,22000,1,12
Falken 31X10.50R15LT 109Q M/T01,M11291241FJ,29150,10,25500,28050,1,12
Falken 31X10.50R15LT 109S WILDPEAK A/T AT3W,M11391215FJ,26950,10,21000,23100,1,12
Jinyu 385/55R22.5 JT560 160K  20PR,3302000837,40700,10,35000,38500,1,12
Falken 385/65R22.5 18PR 158K GI-378,M11591273FJ,39600,10,30500,33550,1,12
Apollo 7.50-16 14PR ANCHOR (D)-E,RTE3CGACR2A0B,26950,10,22500,24750,1,12
Apollo 7.50-16 8PR KRISHAK PREMIUM-E,RTN3CDKPR3A0A,17600,10,14500,15950,1,12
Falken 7.50R16 14PR GI-377 TT,M11391321FJ3,19800,10,15000,16500,1,12
Triangle 7.50R16-14PR(TR624)N TT,CBLTR62475A16GH1M210,13750,10,11500,12650,1,12
Jinyu 7.50R16LT  JD690 122/118L 14PR,3102000520,20900,10,17500,19250,1,12
Firestone 750R16 FIRESTONE,MIX000056,23100,10,20000,22000,1,12
Jinyu 8.25R16LT  JD690 128/124L 16PR,3102000494,24200,10,20000,22000,1,12
Apollo 9.00-16 16PR APOLLO DHRUV TT (5 Deg.) -E,RTK4AHDR5 1A0A,28600,10,22500,24750,1,12
Jinyu 9.5R17.5 JD727 143/141M 18PR,3302001968,20350,10,16500,18150,1,12
Jinyu 9.5R17.5 JF568 143/141J 18PR,3302000701,19470,10,15700,17270,1,12
