item_name,product_code,retail_selling_price,units,buying_price,wholesale_selling_price,minimum_order_quantity,discount
CG Air Filter,17220-PNA-0+E8+E85,1015,5,862.75,949.025,1,0
CG Air Filter,17220-0RN-AA00,1100,5,935,1028.5,1,0
CG Air Filter,17220-PLC-Y00,690.2,5,586.67,645.337,1,0
CG Air Filter,1722-R5A-A00,1160,5,986,1084.6,1,0
Spark Plugs Iridium Tough VXUHC22G,12290-R40-A02,2500,5,2125,2337.5,1,0
Spark Plugs Iridium Tough VXEHC24G,12290-5Z2-004,3000,5,2550,2805,1,0
Spark Plugs Iridium Tough VK20,98079-5615G,1600,5,1360,1496,1,0
Spark Plugs Iridium Tough VFKH20,-,2308.4,5,1962.14,2158.354,1,0
Spark Plugs Iridium Tough VFK20F,12290-RTW-004,2800,5,2380,2618,1,0
Spark Plugs Iridium Tough VKH20,-,1900,5,1615,1776.5,1,0
CG Oil Filter,B671-14-302,550,5,467.5,514.25,1,0
CG Oil Filter,-,800,5,680,748,1,0
CG Oil Filter,L321-14-302,655.4,5,557.09,612.799,1,0
CG Air Filter,LF50-13-Z40TT,1100,5,935,1028.5,1,0
CG Air Filter,PE07-13-3A0,1100,5,935,1028.5,1,0
CG Air Filter,ZJ101-13-Z40T,916.4,5,778.94,856.834,1,0
Spark Plugs Iridium Tough,FEDMN-18-110,1218,5,1035.3,1138.83,1,0
Spark Plugs Iridium Tough,Mazda,2100,5,1785,1963.5,1,0
Spark Plugs Iridium Tough VT20,Mazda,2000,5,1700,1870,1,0
Spark Plugs Iridium Power IT16,Mazda,1276,5,1084.6,1193.06,1,0
Spark Plugs Iridium Power IT20,Mazda,1276,5,1084.6,1193.06,1,0
Spark Plugs Iridium Power,Mazda,1400,5,1190,1309,1,0
Spark Plugs Iridium Tough VK16,Z601-18-110,1800,5,1530,1683,1,0
Spark Plugs Iridium Tough VFK16,ZYYI-18-110,2700,5,2295,2524.5,1,0
Spark Plugs Iridium Tough VCH20,PE5S-18-110,2200,5,1870,2057,1,0
CG Oil Filter,MZ690115,500,5,425,467.5,1,0
CG Oil Filter,1230A114,1200,5,1020,1122,1,0
CG Diesel Filter,1770A233,1798,5,1528.3,1681.13,1,0
CG Air Filter,15000A098,1300,5,1105,1215.5,1,0
CG Air Filter,1500A023,2000,5,1700,1870,1,0
CG Air Filter,1500A098,900,5,765,841.5,1,0
CG Air Filter,MZ690193,945.4,5,803.59,883.949,1,0
